year,stored_water_mm_per_cell,input_mm_per_cell,output_mm_per_cell,water_error,nitrogen_gm2_per_cell,nitrogen_error,temperature_c,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,available_nitrogen_gm2,plant_nitrogen_gm2,organic_nitrogen_gm2,soil_compaction,soil_depth_m,dust_gm2,non_finite
54,82.549750804174693,19.39214335883662,19.434925358774343,9.0629733934566488E-06,19.838549621347337,-6.1667808497457069E-06,-9.992274284362793,0.028397379443049431,49.936843872070312,26.474414825439453,1.824004054069519,27.939445495605469,21.742685317993164,0.69224196672439575,0.50291001796722412,18.643398284912109,0.00031891834805719554,1.5244249105453491,0.46693706512451172,0
55,82.532080361060792,19.374493748002422,19.392371141780604,9.0900495309019284E-06,19.838544414825737,-6.3593617822367458E-06,-9.9925384521484375,0.028111951425671577,49.924453735351562,26.445446014404297,1.848051905632019,27.937374114990234,21.741533279418945,0.69062268733978271,0.50287270545959473,18.645048141479492,0.00031899384339340031,1.5244249105453491,0.47392365336418152,0
56,82.519047460546716,19.459964229329781,19.473204609708628,9.1160224681435418E-06,19.838539737835525,-6.5252502790834867E-06,-9.9926996231079102,0.028554573655128479,49.912250518798828,26.418479919433594,1.8736364841461182,27.932231903076172,21.732810974121094,0.68902653455734253,0.50278013944625854,18.646732330322266,0.00031892792321741581,1.5244249105453491,0.4735414981842041,0
57,82.481514317281551,19.343279402332264,19.381005022014868,9.1295081196573153E-06,19.838539536632599,-6.4655347761949337E-06,-9.9929161071777344,0.028390467166900635,49.901268005371094,26.392572402954102,1.8735589981079102,27.928647994995117,21.729326248168945,0.68746811151504517,0.50271564722061157,18.648355484008789,0.0003188663104083389,1.5244249105453491,0.46885716915130615,0
58,82.449173758942635,19.408296538207505,19.440827451597723,9.140332274107377E-06,19.838540662694722,-6.3389179127044182E-06,-9.9929790496826172,0.028618242591619492,49.889095306396484,26.368663787841797,1.8774700164794922,27.926429748535156,21.728172302246094,0.68592393398284912,0.50267571210861206,18.649940490722656,0.00031888627563603222,1.5244247913360596,0.47096598148345947,0
59,82.433553741415963,19.412868056903971,19.428678456981871,9.1508048541091552E-06,19.83854369258508,-6.1163379746373306E-06,-9.9931402206420898,0.028665564954280853,49.875846862792969,26.345746994018555,1.8978865146636963,27.921882629394531,21.721874237060547,0.68439054489135742,0.50259387493133545,18.651559829711914,0.00031866831704974174,1.5244247913360596,0.46777036786079407,0
60,82.424093903005129,19.443240458554648,19.452872497110221,9.1462472124905417E-06,19.838550678100436,-5.6944235689152072E-06,-9.993412971496582,0.028039628639817238,49.865707397460938,26.322799682617188,1.9213662147521973,27.922649383544922,21.720195770263672,0.68285733461380005,0.50260764360427856,18.653085708618164,0.00031862105242908001,1.5244247913360596,0.47075232863426208,0
61,82.375538609381763,19.373358304194117,19.422093206239516,9.1481417525366169E-06,19.838554975688456,-5.4079389951118944E-06,-9.9935760498046875,0.028490185737609863,49.851394653320312,26.29998779296875,1.9091665744781494,27.919696807861328,21.716289520263672,0.68138301372528076,0.50255447626113892,18.654617309570312,0.00031848094658926129,1.5244247913360596,0.47802627086639404,0
62,82.356021452769639,19.38205956789534,19.401762624326949,9.1547798518816909E-06,19.838554858621208,-5.3439826955828514E-06,-9.9937801361083984,0.028254443779587746,49.841148376464844,26.277019500732422,1.9190313816070557,27.918951034545898,21.714998245239258,0.67995256185531616,0.50254106521606445,18.656061172485352,0.00031869258964434266,1.5244247913360596,0.47279724478721619,0
63,82.314282897571104,19.423014331173036,19.464936972108116,9.1595552419887154E-06,19.838551174774764,-5.4598123285214153E-06,-9.9937248229980469,0.028367014601826668,49.829448699951172,26.256011962890625,1.9007611274719238,27.916366577148438,21.71217155456543,0.67850816249847412,0.50249457359313965,18.657548904418945,0.00031872570980340242,1.5244247913360596,0.47192063927650452,0
